Node ID,Node Path,Query,Refinement Link
2617942011,"Arts, Crafts & Sewing",,See Available Refinements
12896081,"Arts, Crafts & Sewing/Beading & Jewelry Making",item_type_keyword:jewelry-making-supplies,See Available Refinements
8090707011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies",item_type_keyword:beading-supplies,See Available Refinements
12896091,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Bead Looms",item_type_keyword:bead-looms,See Available Refinements
262593011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Cords & Threads",item_type_keyword:beading-cord,See Available Refinements
12896101,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Kits",item_type_keyword:beading-kits,See Available Refinements
8090708011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Mats, Trays & Boards",,See Available Refinements
8090776011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Mats, Trays & Boards/Boards",item_type_keyword:beading-boards,See Available Refinements
8090772011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Mats, Trays & Boards/Mats",item_type_keyword:beading-mats,See Available Refinements
8090774011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Mats, Trays & Boards/Trays",item_type_keyword:beading-trays,See Available Refinements
8090979011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Beading Needles",item_type_keyword:beading-needles,See Available Refinements
8090778011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beading Supplies/Fuse & Perler Beads",item_type_keyword:fuse-and-perler-beads,See Available Refinements
12896121,"Arts, Crafts & Sewing/Beading & Jewelry Making/Beads & Bead Assortments",item_type_keyword:loose-beads,See Available Refinements
8090780011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Braiding & Kumihimo Supplies",item_type_keyword:jewelry-making-braiding-and-kumihimo-supplies,See Available Refinements
262595011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Charms",item_type_keyword:jewelry-making-charms,See Available Refinements
12896151,"Arts, Crafts & Sewing/Beading & Jewelry Making/Engraving Machines & Tools",item_type_keyword:engraving-tools,See Available Refinements
8090782011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Fusible Glass Supplies",item_type_keyword:jewelry-making-fusible-glass-supplies,See Available Refinements
8090808011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies",item_type_keyword:jewelry-casting-supplies,See Available Refinements
12896131,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies/Casting Machines",item_type_keyword:jewelry-casting-machines,See Available Refinements
8090812011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies/Casting Tools",item_type_keyword:jewelry-casting-tools,See Available Refinements
19271661011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies/Metal Casting Molds",item_type_keyword:jewelry-metal-casting-molds,See Available Refinements
19271660011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Casting Supplies/Resin Casting Molds",item_type_keyword:jewelry-resin-casting-molds,See Available Refinements
12896161,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings",item_type_keyword:jewelry-findings,See Available Refinements
8090784011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Cord Ends",item_type_keyword:jewelry-making-cord-ends,See Available Refinements
3097795011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Earring Backs & Findings",item_type_keyword:earring-backs-and-findings,See Available Refinements
8090786011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/End Caps",item_type_keyword:jewelry-making-end-caps,See Available Refinements
8090788011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Eye Pins",item_type_keyword:jewelry-making-eye-pins,See Available Refinements
8090790011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Hair Accessory Bases",item_type_keyword:jewelry-making-hair-accessory-bases,See Available Refinements
8090792011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Head Pins",item_type_keyword:jewelry-making-head-pins,See Available Refinements
3298701011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Jewelry Clasps",item_type_keyword:jewelry-clasps,See Available Refinements
3298708011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Jewelry Making Chains",item_type_keyword:jewelry-making-chains,See Available Refinements
3298709011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Jump Rings",item_type_keyword:jewelry-making-jump-rings,See Available Refinements
8090794011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Key Ring Findings",item_type_keyword:jewelry-making-key-ring-findings,See Available Refinements
3298711011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Pin Backs",item_type_keyword:jewelry-making-pin-backs,See Available Refinements
8147485011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Ring Blanks & Findings",item_type_keyword:jewelry-making-ring-blanks-and-findings,See Available Refinements
262596011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Findings/Wire",item_type_keyword:jewelry-making-wire,See Available Refinements
8090796011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Display & Packaging Supplies",item_type_keyword:jewelry-making-display-and-packaging-supplies,See Available Refinements
12896171,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Kits",item_type_keyword:jewelry-making-kits,See Available Refinements
12896181,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories",,See Available Refinements
10664320011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Diamond & Gold Testers",,See Available Refinements
10664323011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Diamond & Gold Testers/Diamond Testers",item_type_keyword:jewelry-diamond-testers,See Available Refinements
10664324011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Diamond & Gold Testers/Gold Testers",item_type_keyword:jewelry-gold-testers,See Available Refinements
8090798011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Jewelry Hammers",item_type_keyword:jewelry-making-hammers,See Available Refinements
8090800011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Jewelry Pliers",item_type_keyword:jewelry-making-pliers,See Available Refinements
8090804011,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Jewelry Sizers & Mandrels",item_type_keyword:jewelry-sizers-and-mandrels,See Available Refinements
12896511,"Arts, Crafts & Sewing/Beading & Jewelry Making/Jewelry Making Tools & Accessories/Kilns & Firing Accessories",,See Available Refinements
